Source,Chart Type,Song Chart or Album Chart?,Chart Name,URL,URL 2 (shazam: 20160228; radio callouts - most recent Thursday: m%2Fd%2Fyyyy),URL 3,Login Username,Login Password,Note,Chart Name 2
Shazam Mobile Proxy URL,Shazam,Song,NYC,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5128581,,,,
Shazam Mobile Proxy URL,Shazam,Song,LA,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5368361,,,,
Shazam Mobile Proxy URL,Shazam,Song,Chicago,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4887398,,,,
Shazam Mobile Proxy URL,Shazam,Song,Houston,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4699066,,,,
Shazam Mobile Proxy URL,Shazam,Song,Philadelphia,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4560349,,,,
Shazam Mobile Proxy URL,Shazam,Song,Phoenix,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5308655,,,,
Shazam Mobile Proxy URL,Shazam,Song,San Antonio,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4726206,,,,
Shazam Mobile Proxy URL,Shazam,Song,San Diego,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5391811,,,,
Shazam Mobile Proxy URL,Shazam,Song,Dallas,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4684888,,,,
Shazam Mobile Proxy URL,Shazam,Song,Detroit,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4990729,,,,
Shazam Mobile Proxy URL,Shazam,Song,San Jose,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5392171,,,,
Shazam Mobile Proxy URL,Shazam,Song,Jacksonville,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4160021,,,,
Shazam Mobile Proxy URL,Shazam,Song,Indianapolis,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4259418,,,,
Shazam Mobile Proxy URL,Shazam,Song,Columbus,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4509177,,,,
Shazam Mobile Proxy URL,Shazam,Song,San Francisco,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5391959,,,,
Shazam Mobile Proxy URL,Shazam,Song,Austin,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4671654,,,,
Shazam Mobile Proxy URL,Shazam,Song,Memphis,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4641239,,,,
Shazam Mobile Proxy URL,Shazam,Song,New South Memphis,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4645421,,,,
Shazam Mobile Proxy URL,Shazam,Song,Fort Worth,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4691930,,,,
Shazam Mobile Proxy URL,Shazam,Song,Baltimore,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4347778,,,,
Shazam Mobile Proxy URL,Shazam,Song,Charlotte,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4460243,,,,
Shazam Mobile Proxy URL,Shazam,Song,Boston,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4930956,,,,
Shazam Mobile Proxy URL,Shazam,Song,Milwaukee,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5263045,,,,
Shazam Mobile Proxy URL,Shazam,Song,Seattle,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5809844,,,,
Shazam Mobile Proxy URL,Shazam,Song,El Paso,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5520993,,,,
Shazam Mobile Proxy URL,Shazam,Song,Denver,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5419384,,,,
Shazam Mobile Proxy URL,Shazam,Song,Washington,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4140963,,,,
Shazam Mobile Proxy URL,Shazam,Song,Portland,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5746545,,,,
Shazam Mobile Proxy URL,Shazam,Song,Oklahoma City,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4544349,,,,
Shazam Mobile Proxy URL,Shazam,Song,Nashville,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4644585,,,,
Shazam Mobile Proxy URL,Shazam,Song,Tucson,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5318313,,,,
Shazam Mobile Proxy URL,Shazam,Song,Albuquerque,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5454711,,,,
Shazam Mobile Proxy URL,Shazam,Song,New Orleans,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4335045,,,,
Shazam Mobile Proxy URL,Shazam,Song,Las Vegas,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5506956,,,,
Shazam Mobile Proxy URL,Shazam,Song,Sacramento,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5389489,,,,
Shazam Mobile Proxy URL,Shazam,Song,Fresno,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5350937,,,,
Shazam Mobile Proxy URL,Shazam,Song,Cleveland,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5150529,,,,
Shazam Mobile Proxy URL,Shazam,Song,Kansas City,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4393217,,,,
Shazam Mobile Proxy URL,Shazam,Song,Atlanta,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4180439,,,,
Shazam Mobile Proxy URL,Shazam,Song,Oakland,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5378538,,,,
Shazam Mobile Proxy URL,Shazam,Song,Tulsa,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4553433,,,,
