Source,Chart Type,Song Chart or Album Chart?,Chart Name,URL,URL 2 (shazam: 20160228; radio callouts - most recent Thursday: m%2Fd%2Fyyyy),URL 3,Login Username,Login Password,Note,Chart Name 2
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/global/daily/latest,,,,,,Global
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/us/daily/latest,,,,,,US
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/gb/daily/latest,,,,,,UK
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/es/daily/latest,,,,,,ES
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/nl/daily/latest,,,,,,NL
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/ie/daily/latest,,,,,,IE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/de/daily/latest,,,,,,DE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/fr/daily/latest,,,,,,FR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/gr/daily/latest,,,,,,GR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/ca/daily/latest,,,,,,CA
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/dk/daily/latest,,,,,,DK
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/be/daily/latest,,,,,,BE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/ar/daily/latest,,,,,,AR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/au/daily/latest,,,,,,AU
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/at/daily/latest,,,,,,AT
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/bo/daily/latest,,,,,,BO
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/br/daily/latest,,,,,,BR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/bg/daily/latest,,,,,,BG
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/cl/daily/latest,,,,,,CL
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/co/daily/latest,,,,,,CO
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/cr/daily/latest,,,,,,CR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/cz/daily/latest,,,,,,CZ
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/do/daily/latest,,,,,,DO
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/ec/daily/latest,,,,,,EC
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/sv/daily/latest,,,,,,SV
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/ee/daily/latest,,,,,,EE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/fi/daily/latest,,,,,,FI
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/gt/daily/latest,,,,,,GT
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/hn/daily/latest,,,,,,HN
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/hk/daily/latest,,,,,,HK
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/hu/daily/latest,,,,,,HU
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/is/daily/latest,,,,,,IS
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/it/daily/latest,,,,,,IT
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/lv/daily/latest,,,,,,LV
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/lt/daily/latest,,,,,,LT
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/lu/daily/latest,,,,,,LU
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/my/daily/latest,,,,,,MY
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/mt/daily/latest,,,,,,MT
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/mx/daily/latest,,,,,,MX
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/nl/daily/latest,,,,,,NL
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/nz/daily/latest,,,,,,NZ
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/ni/daily/latest,,,,,,NI
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/no/daily/latest,,,,,,NO
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/pa/daily/latest,,,,,,PA
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/py/daily/latest,,,,,,PY
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/pe/daily/latest,,,,,,PE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/ph/daily/latest,,,,,,PH
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/pl/daily/latest,,,,,,PL
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/pt/daily/latest,,,,,,PT
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/sg/daily/latest,,,,,,SG
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/sk/daily/latest,,,,,,SK
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/se/daily/latest,,,,,,SE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/ch/daily/latest,,,,,,CH
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/tw/daily/latest,,,,,,TW
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/tr/daily/latest,,,,,,TR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/viral/uy/daily/latest,,,,,,UY
