Source,Chart Type,Song Chart or Album Chart?,Chart Name,URL,URL 2 (shazam: 20160228; radio callouts - most recent Thursday: m%2Fd%2Fyyyy),URL 3,Login Username,Login Password,Note,Chart Name 2
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/global/daily/latest,,,,,,Global
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/us/daily/latest,,,,,,US
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/gb/daily/latest,,,,,,UK
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/es/daily/latest,,,,,,ES
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/nl/daily/latest,,,,,,NL
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/ie/daily/latest,,,,,,IE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/de/daily/latest,,,,,,DE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/fr/daily/latest,,,,,,FR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/gr/daily/latest,,,,,,GR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/ca/daily/latest,,,,,,CA
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/dk/daily/latest,,,,,,DK
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/be/daily/latest,,,,,,BE
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/ar/daily/latest,,,,,,AR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/au/daily/latest,,,,,,AU
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/at/daily/latest,,,,,,AT
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/bo/daily/latest,,,,,,BO
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/br/daily/latest,,,,,,BR
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/bg/daily/latest,,,,,,BG
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/cl/daily/latest,,,,,,CL
Spotify Charts Website,Spotify,Song,Viral,https://spotifycharts.com/regional/co/daily/latest,,,,,,CO
